number_of_k,distance,policy,weight,acc_fold0,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_fold6,acc_fold7,acc_fold8,acc_fold9
5,manhattan,inverse_distance,ig,0.9936247723132969,0.989080982711556,0.9936189608021878,0.9927272727272727,0.9927140255009107,0.9936247723132969,0.9963702359346642,0.9936363636363637,0.9963570127504554,0.9891107078039928
7,manhattan,inverse_distance,ig,0.9927140255009107,0.9909008189262967,0.9963536918869644,0.990909090909091,0.9908925318761385,0.9918032786885246,0.9954627949183303,0.9927272727272727,0.9963570127504554,0.9900181488203267
1,manhattan,majority,,0.9936247723132969,0.9927206551410374,0.9963536918869644,0.9918181818181818,0.9954462659380692,0.9927140255009107,0.9945553539019963,0.9918181818181818,0.994535519125683,0.9936479128856625
3,manhattan,majority,,0.9936247723132969,0.9909008189262967,0.9963536918869644,0.9918181818181818,0.9918032786885246,0.994535519125683,0.9954627949183303,0.9927272727272727,0.9963570127504554,0.9918330308529946
5,manhattan,majority,,0.9936247723132969,0.9899909008189263,0.9945305378304466,0.9918181818181818,0.9927140255009107,0.9954462659380692,0.9963702359346642,0.99,0.994535519125683,0.9909255898366606
7,manhattan,majority,,0.9927140255009107,0.9899909008189263,0.99179580674567,0.990909090909091,0.9899817850637522,0.9918032786885246,0.9936479128856625,0.9936363636363637,0.9918032786885246,0.9891107078039928
1,chebyshev,majority,ig,0.9872495446265938,0.986351228389445,0.9927073837739289,0.9872727272727273,0.9863387978142076,0.98816029143898,0.9936479128856625,0.9890909090909091,0.9963570127504554,0.9945553539019963
3,chebyshev,majority,ig,0.9890710382513661,0.9899909008189263,0.9927073837739289,0.9890909090909091,0.9899817850637522,0.9890710382513661,0.9945553539019963,0.9927272727272727,0.9963570127504554,0.9891107078039928
5,chebyshev,majority,ig,0.9899817850637522,0.9881710646041856,0.9899726526891522,0.99,0.9890710382513661,0.9890710382513661,0.9936479128856625,0.9936363636363637,0.9954462659380692,0.9891107078039928
7,chebyshev,majority,ig,0.9872495446265938,0.9854413102820746,0.9854147675478578,0.9890909090909091,0.9863387978142076,0.9863387978142076,0.9927404718693285,0.990909090909091,0.9918032786885246,0.985480943738657
1,chebyshev,inverse_distance,,0.98816029143898,0.989080982711556,0.9927073837739289,0.9863636363636363,0.9899817850637522,0.9854280510018215,0.9900181488203267,0.9918181818181818,0.9936247723132969,0.9909255898366606
3,chebyshev,inverse_distance,,0.9908925318761385,0.9899909008189263,0.9927073837739289,0.9872727272727273,0.9854280510018215,0.9908925318761385,0.9900181488203267,0.9945454545454545,0.9954462659380692,0.9900181488203267
