number_of_k,distance,policy,weight,acc_fold0,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_fold6,acc_fold7,acc_fold8,acc_fold9
5,euclidean,sheppard,,0.944,0.9259259259259259,0.9442970822281167,0.9310344827586207,0.9365079365079365,0.9232804232804233,0.9259259259259259,0.9391534391534392,0.9416445623342176,0.9521276595744681
7,euclidean,sheppard,,0.9386666666666666,0.9285714285714286,0.9442970822281167,0.9310344827586207,0.9365079365079365,0.9259259259259259,0.9285714285714286,0.9365079365079365,0.9363395225464191,0.949468085106383
1,manhattan,majority,,0.928,0.9153439153439153,0.9257294429708223,0.9310344827586207,0.9206349206349206,0.8968253968253969,0.9047619047619048,0.917989417989418,0.9257294429708223,0.949468085106383
3,manhattan,majority,,0.9493333333333334,0.9365079365079365,0.9496021220159151,0.9257294429708223,0.9338624338624338,0.9232804232804233,0.9338624338624338,0.9312169312169312,0.9389920424403183,0.9521276595744681
5,manhattan,majority,,0.9466666666666667,0.9312169312169312,0.9442970822281167,0.9310344827586207,0.9365079365079365,0.9285714285714286,0.9259259259259259,0.9365079365079365,0.9442970822281167,0.949468085106383
7,manhattan,majority,,0.9413333333333334,0.9365079365079365,0.9416445623342176,0.9310344827586207,0.9365079365079365,0.9312169312169312,0.9312169312169312,0.9365079365079365,0.9442970822281167,0.949468085106383
1,manhattan,inverse_distance,,0.928,0.9153439153439153,0.9257294429708223,0.9310344827586207,0.9206349206349206,0.8968253968253969,0.9047619047619048,0.917989417989418,0.9257294429708223,0.949468085106383
3,manhattan,inverse_distance,,0.9466666666666667,0.9338624338624338,0.9442970822281167,0.9283819628647215,0.9285714285714286,0.917989417989418,0.9365079365079365,0.9285714285714286,0.9363395225464191,0.9547872340425532
5,manhattan,inverse_distance,,0.9466666666666667,0.9365079365079365,0.946949602122016,0.9283819628647215,0.9391534391534392,0.9259259259259259,0.9391534391534392,0.9365079365079365,0.9416445623342176,0.9547872340425532
7,manhattan,inverse_distance,,0.944,0.9338624338624338,0.9363395225464191,0.9283819628647215,0.9365079365079365,0.9259259259259259,0.9338624338624338,0.9365079365079365,0.9442970822281167,0.9547872340425532
1,manhattan,sheppard,,0.928,0.9153439153439153,0.9257294429708223,0.9310344827586207,0.9206349206349206,0.8968253968253969,0.9047619047619048,0.917989417989418,0.9257294429708223,0.949468085106383
3,manhattan,sheppard,,0.9493333333333334,0.9365079365079365,0.946949602122016,0.9257294429708223,0.9312169312169312,0.9232804232804233,0.9365079365079365,0.9338624338624338,0.9363395225464191,0.9547872340425532
5,manhattan,sheppard,,0.9466666666666667,0.9312169312169312,0.9442970822281167,0.9310344827586207,0.9365079365079365,0.9285714285714286,0.9285714285714286,0.9391534391534392,0.946949602122016,0.9521276595744681
